horizon,var_response,value,sd,lower_95,upper_95,lower_68,upper_68,var_shocked
5,reer_obs,-0.046508041430449454,0.019649826522309673,-0.07890852368888585,-0.014207394860543978,-0.05629376805503197,-0.03648665209935979,smdi_obs
5,smdi_obs,0.017466490255563058,0.007379659364686117,0.005335707896014695,0.029634766756495325,0.013702872315202296,0.021141603063473506,smdi_obs
5,wy_obs,0,0,0,0,0,0,smdi_obs
5,y_a_obs,-0.8213964462004859,0.3470431602246308,-1.3936338521136327,-0.2509222768640914,-0.9942259360198313,-0.6444048264854658,smdi_obs
5,y_obs,-0.07957468185745259,0.03362060938225616,-0.1350115050055263,-0.024308676333783603,-0.09631793869959805,-0.06242820904836481,smdi_obs
6,c_obs,-0.045116918576355525,0.01906207176176908,-0.076548255500629,-0.013782431110625678,-0.05460993994970252,-0.035395283509248365,smdi_obs
6,h_obs,-0.035222776974888695,0.014881758850791465,-0.05976122076582762,-0.01075994355332035,-0.0426339784753938,-0.02763309677054454,smdi_obs
6,i_obs,-0.41097309704128004,0.1736377154104439,-0.6972832948012455,-0.1255451076231162,-0.49744567799737566,-0.3224180583129042,smdi_obs
6,reer_obs,-0.024705967309416817,0.010438366286008605,-0.041917727488209905,-0.007547241771113727,-0.029904333756375773,-0.01938241229411703,smdi_obs
6,smdi_obs,0.0066638700806211275,0.002815510759515326,0.0020356959919787857,0.011306349051544396,0.005227962773503663,0.008066010632340826,smdi_obs
6,wy_obs,0,0,0,0,0,0,smdi_obs
6,y_a_obs,-0.6957701043222468,0.29396554722234247,-1.1804881493673345,-0.21254562222429213,-0.8421666375892245,-0.5458480072850438,smdi_obs
6,y_obs,-0.05826145054154503,0.024615687112765596,-0.09885011083688475,-0.017797856188582668,-0.07052020430144691,-0.04570747791846687,smdi_obs
7,c_obs,-0.03933412327468045,0.016618818487776188,-0.06673679438518731,-0.012015888084481256,-0.047610390465146216,-0.030858544617554468,smdi_obs
7,h_obs,-0.028366975973960727,0.011985156538669306,-0.04812922941446051,-0.008665616015336238,-0.03433565286314784,-0.02225455967696726,smdi_obs
7,i_obs,-0.31414591085786203,0.1327278565424272,-0.5330000852812663,-0.09596609235969203,-0.3802451468036016,-0.24645485394280423,smdi_obs
7,reer_obs,-0.011841918356937986,0.005003256087512636,-0.020091757606857857,-0.003617499357717335,-0.014333568664872714,-0.009290263403690338,smdi_obs
7,smdi_obs,0.002542420589462946,0.001074182485289242,7.766651122063373e-4,0.004313633710221134,0.001994588735298787,0.0030773696453246153,smdi_obs
7,wy_obs,0,0,0,0,0,0,smdi_obs
7,y_a_obs,-0.5908269756496525,0.24962667141290423,-1.0024349116873321,-0.1804873281939556,-0.7151424937473687,-0.46351765519267674,smdi_obs
7,y_obs,-0.042846801529297505,0.01810293857129203,-0.0726966294317866,-0.013088949977573937,-0.0518621690573082,-0.03361432330595323,smdi_obs
8,c_obs,-0.03448407099913841,0.014569652732622753,-0.05850788486533002,-0.01053428177181913,-0.0417398418577093,-0.02705356456252358,smdi_obs
8,h_obs,-0.022231762650966005,0.009393005294147575,-0.03771983329835279,-0.006791415435124582,-0.026909533311558084,-0.017441340560737057,smdi_obs
8,i_obs,-0.23834340062788328,0.10070100419255615,-0.4043886884090871,-0.07280974861495987,-0.2884930799001389,-0.18698600223561102,smdi_obs
8,reer_obs,-0.0038415218834236017,0.0016230577824657426,-0.006517772222096672,-0.0011735178817374734,-0.004649813994149267,-0.00301376424767668,smdi_obs
8,smdi_obs,9.69992268084948e-4,4.0982546694327035e-4,2.963157067142118e-4,0.0016457510467018932,7.609817428586224e-4,0.0011740877077441954,smdi_obs
8,wy_obs,0,0,0,0,0,0,smdi_obs
8,y_a_obs,-0.5028573850069508,0.2124591807553435,-0.8531800664255299,-0.1536141537591576,-0.6086632789874427,-0.3945034428031196,smdi_obs
8,y_obs,-0.03189698157699599,0.013476597493587955,-0.054118463150857735,-0.00974397111092234,-0.038608404639792794,-0.025023932077638006,smdi_obs
9,c_obs,-0.03026970856783906,0.012789068383548173,-0.05135752747517746,-0.009246867610626118,-0.036638738179495055,-0.023747298138008924,smdi_obs
